iter	Passed	Remaining
175	330	1547
176	331	1540
177	332	1533
178	332	1527
179	333	1520
180	334	1512
181	335	1506
182	336	1500
183	336	1494
184	337	1488
185	338	1482
186	339	1476
187	340	1470
188	341	1464
189	342	1458
190	343	1453
191	343	1447
192	344	1442
193	345	1436
194	346	1431
195	347	1425
196	348	1419
197	349	1414
198	349	1408
199	350	1403
200	351	1398
201	352	1392
202	353	1387
203	354	1382
204	355	1377
205	355	1372
206	356	1367
207	357	1362
208	358	1358
209	360	1355
210	361	1350
211	362	1345
212	362	1340
213	363	1336
214	364	1331
215	365	1327
216	366	1322
217	367	1317
218	368	1312
219	368	1307
220	369	1303
221	370	1298
222	371	1293
223	372	1289
224	376	1297
225	377	1292
226	378	1288
227	379	1283
228	379	1279
229	380	1274
230	381	1270
231	382	1265
232	383	1261
233	384	1257
234	384	1253
235	385	1248
236	386	1244
237	387	1240
238	390	1244
239	391	1240
240	392	1236
241	393	1233
242	394	1229
243	395	1225
244	396	1222
245	397	1218
246	398	1215
247	399	1211
248	400	1208
249	401	1205
250	402	1202
251	403	1198
252	406	1199
253	407	1195
254	408	1192
255	408	1188
256	409	1184
257	410	1180
258	411	1177
259	412	1173
260	413	1169
261	413	1166
262	414	1162
263	415	1159
264	416	1155
265	417	1152
266	418	1148
267	419	1145
268	421	1144
269	422	1141
270	423	1138
271	424	1134
272	424	1131
273	425	1128
274	427	1125
275	428	1122
276	429	1119
277	430	1116
278	431	1114
279	432	1111
280	433	1108
281	434	1105
282	435	1102
283	435	1099
284	436	1096
285	437	1092
286	438	1089
287	440	1088
288	441	1085
289	442	1082
290	444	1081
291	445	1079
292	446	1078
293	447	1075
294	448	1072
295	449	1069
296	450	1066
297	451	1063
298	452	1060
299	453	1057
300	453	1054
301	454	1051
302	455	1048
303	456	1045
304	457	1042
305	458	1040
306	459	1037
307	460	1033
308	460	1030
309	461	1027
310	462	1024
311	463	1021
312	464	1018
313	465	1015
314	465	1013
315	466	1010
316	467	1007
317	468	1004
318	469	1001
319	470	998
320	470	996
321	471	993
322	472	990
323	473	987
324	474	985
325	475	982
326	475	979
327	476	976
328	477	973
329	478	971
330	479	968
331	479	965
332	480	962
333	481	960
334	482	957
335	483	954
336	484	952
337	484	949
338	485	947
339	487	945
340	487	942
341	488	940
342	489	937
343	490	935
344	491	933
345	492	930
346	493	928
347	494	925
348	495	923
349	495	921
350	496	918
351	497	916
352	498	913
353	499	911
354	500	909
355	501	907
356	502	905
357	503	902
358	504	900
359	505	898
360	506	895
361	506	893
362	507	891
363	508	888
364	509	886
365	510	884
366	511	882
367	512	879
368	513	877
369	514	875
370	515	873
371	516	871
372	517	869
373	518	867
374	519	865
375	520	863
376	520	860
377	521	858
378	522	856
379	523	854
380	524	851
381	525	849
382	526	847
383	527	845
384	528	843
385	528	841
386	529	839
387	531	837
388	532	835
389	533	833
390	533	831
391	534	829
392	535	827
393	536	825
394	537	823
395	538	821
396	539	820
397	540	818
398	541	816
399	542	814
400	544	812
401	545	810
402	546	808
403	547	807
404	548	805
405	549	803
406	549	801
407	550	799
408	551	797
409	552	795
410	553	793
411	554	791
412	555	789
413	556	787
414	556	785
415	557	783
416	558	781
417	559	779
418	560	777
419	561	775
420	562	773
421	563	771
422	564	769
423	565	767
424	566	765
425	567	764
426	567	762
427	568	760
428	569	757
429	570	756
430	571	754
431	572	752
432	573	750
433	573	748
434	574	746
435	575	744
436	576	742
437	577	741
438	578	739
439	579	737
440	580	735
441	580	733
442	581	731
443	582	729
444	583	727
445	584	725
446	585	723
447	586	722
448	587	720
449	587	718
450	588	716
451	589	714
452	590	713
453	591	711
454	592	709
455	593	708
456	594	706
457	595	704
458	596	702
459	596	700
460	597	698
461	598	697
462	599	695
463	600	693
464	601	691
465	602	690
466	603	688
467	603	686
468	604	684
469	605	683
470	606	681
471	607	679
472	608	677
473	609	676
474	610	674
475	611	672
476	611	670
477	612	669
478	613	667
479	614	665
480	615	663
481	616	662
482	616	660
483	617	658
484	618	656
485	619	655
486	620	653
487	621	651
488	622	650
489	623	648
490	624	646
491	624	645
492	625	643
493	626	641
494	627	640
495	628	638
496	629	637
497	630	635
498	631	634
499	632	632
500	633	630
501	633	628
502	634	627
503	635	625
504	636	624
505	637	622
506	638	620
507	639	619
508	640	617
509	641	615
510	641	614
511	642	612
512	643	611
513	644	609
514	645	607
515	646	606
516	647	604
517	648	603
518	648	601
519	649	599
520	650	598
521	651	596
522	652	595
523	653	593
524	654	591
525	655	590
526	655	588
527	656	587
528	657	585
529	658	584
530	659	582
531	660	580
532	661	579
533	661	577
534	662	576
535	663	574
536	664	572
537	665	571
538	666	569
539	667	568
540	667	566
541	668	565
542	669	563
543	670	562
544	671	560
545	672	558
546	673	557
547	673	555
548	674	554
549	675	552
550	676	550
551	676	549
552	677	547
553	678	546
554	679	544
555	680	543
556	681	541
557	681	540
558	682	538
559	683	537
560	684	535
561	685	533
562	685	532
563	686	530
564	687	529
565	688	527
566	689	526
567	690	524
568	690	523
569	691	521
570	692	520
571	693	518
572	694	517
573	694	515
574	695	514
575	696	512
576	697	511
577	698	509
578	698	508
579	699	506
580	700	505
581	701	503
582	702	502
583	702	500
584	703	499
585	704	497
586	705	496
587	706	494
588	707	493
589	707	491
590	708	490
591	709	489
592	710	487
593	711	486
594	712	484
595	713	483
596	713	481
597	714	480
598	715	479
599	716	477
600	717	476
601	718	474
602	719	473
603	719	472
604	720	470
605	721	469
606	722	467
607	723	466
608	724	465
609	725	463
610	726	462
611	727	460
612	727	459
613	728	458
614	729	456
615	730	455
616	731	454
617	732	452
618	733	451
619	734	450
620	735	448
621	736	447
622	736	445
623	737	444
624	738	443
625	739	441
626	740	440
627	741	439
628	742	437
629	743	436
630	743	435
631	744	433
632	745	432
633	746	430
634	747	429
635	748	428
636	749	426
637	750	425
638	750	424
639	751	422
640	752	421
641	753	420
642	754	418
643	755	417
644	756	416
645	757	414
646	758	413
647	759	412
648	759	410
649	760	409
650	761	408
651	762	406
652	763	405
653	763	404
654	764	402
655	765	401
656	766	399
657	766	398
658	767	397
659	768	395
660	769	394
661	769	393
662	770	391
663	771	390
664	772	389
665	773	387
666	774	386
667	775	385
668	776	383
669	777	382
670	778	381
671	779	380
672	779	378
673	780	377
674	781	376
675	782	374
676	783	373
677	784	372
678	784	371
679	786	369
680	786	368
681	787	367
682	788	365
683	789	364
684	789	363
685	790	361
686	791	360
687	792	359
688	792	357
689	793	356
690	794	355
691	795	353
692	795	352
693	796	351
694	797	349
695	798	348
696	798	347
697	799	346
698	800	344
699	801	343
700	802	342
701	802	340
702	803	339
703	804	338
704	805	336
705	805	335
706	806	334
707	807	332
708	807	331
709	808	330
710	809	329
711	810	327
712	810	326
713	811	325
714	812	323
715	813	322
716	814	321
717	814	320
718	815	318
719	816	317
720	817	316
721	817	314
722	818	313
723	819	312
724	820	311
725	821	309
726	821	308
727	822	307
728	823	306
729	824	304
730	824	303
731	825	302
732	826	300
733	827	299
734	827	298
735	828	297
736	829	296
737	830	294
738	831	293
739	831	292
740	832	291
741	833	289
742	834	288
743	834	287
744	835	286
745	836	284
746	837	283
747	837	282
748	838	281
749	839	279
750	840	278
751	840	277
752	841	276
753	842	274
754	843	273
755	844	272
756	844	271
757	845	269
758	846	268
759	847	267
760	847	266
761	848	265
762	849	263
763	850	262
764	850	261
765	851	260
766	852	258
767	853	257
768	853	256
769	854	255
770	855	254
771	856	252
772	856	251
773	857	250
774	858	249
775	859	248
776	860	246
777	861	245
778	862	244
779	862	243
780	863	242
781	864	241
782	865	239
783	866	238
784	866	237
785	867	236
786	868	235
787	869	233
788	869	232
789	870	231
790	871	230
791	872	229
792	873	227
793	873	226
794	874	225
795	875	224
796	876	223
797	876	221
798	877	220
799	878	219
800	879	218
801	879	217
802	880	216
803	881	214
804	882	213
805	883	212
806	883	211
807	884	210
808	885	209
809	886	207
810	887	206
811	887	205
812	888	204
813	889	203
814	890	202
815	890	200
816	891	199
817	892	198
818	893	197
819	893	196
820	894	195
821	895	193
822	895	192
823	896	191
824	897	190
825	898	189
826	898	188
827	899	186
828	900	185
829	901	184
830	902	183
831	903	182
832	904	181
833	904	180
834	905	178
835	906	177
836	907	176
837	907	175
838	908	174
839	909	173
840	910	172
841	910	170
842	911	169
843	912	168
844	913	167
845	913	166
846	914	165
847	915	164
848	916	162
849	916	161
850	917	160
851	918	159
852	919	158
853	919	157
854	920	156
855	921	154
856	922	153
857	922	152
858	923	151
859	924	150
860	925	149
861	925	148
862	926	147
863	927	145
864	928	144
865	928	143
866	929	142
867	930	141
868	931	140
869	931	139
870	932	138
871	933	136
872	934	135
873	934	134
874	935	133
875	936	132
876	937	131
877	937	130
878	938	129
879	939	128
880	940	126
881	940	125
882	941	124
883	942	123
884	943	122
885	944	121
886	944	120
887	945	119
888	946	118
889	947	117
890	947	115
891	948	114
892	949	113
893	950	112
894	950	111
895	951	110
896	952	109
897	953	108
898	953	107
899	954	106
900	955	104
901	956	103
902	957	102
903	957	101
904	959	100
905	959	99
906	960	98
907	961	97
908	962	96
909	963	95
910	963	94
911	964	93
912	965	91
913	966	90
914	966	89
915	967	88
916	968	87
917	969	86
918	969	85
919	970	84
920	971	83
921	972	82
922	973	81
923	973	80
924	974	79
925	975	77
926	976	76
927	976	75
928	977	74
929	978	73
930	979	72
931	980	71
932	981	70
933	982	69
934	982	68
935	983	67
936	984	66
937	985	65
938	986	64
939	987	63
940	988	61
941	988	60
942	989	59
943	990	58
944	991	57
945	992	56
946	993	55
947	994	54
948	994	53
949	996	52
950	996	51
951	997	50
952	998	49
953	999	48
954	1000	47
955	1001	46
956	1001	45
957	1002	43
958	1003	42
959	1004	41
960	1005	40
961	1005	39
962	1006	38
963	1007	37
964	1008	36
965	1009	35
966	1010	34
967	1011	33
968	1012	32
969	1013	31
970	1014	30
971	1015	29
972	1015	28
973	1016	27
974	1017	26
975	1018	25
976	1018	23
977	1019	22
978	1020	21
979	1021	20
980	1022	19
981	1022	18
982	1023	17
983	1024	16
984	1025	15
985	1026	14
986	1027	13
987	1028	12
988	1028	11
989	1029	10
990	1030	9
991	1031	8
992	1031	7
993	1032	6
994	1033	5
995	1034	4
996	1035	3
997	1035	2
998	1036	1
999	1037	0
